,NTAName,LI - Not Losing Low Income Households,MHI - At Risk of Exclusion,MHI - Not Losing Low Income Households,LI - At Risk of Gentrification and/or Displacement,MHI - Advanced Exclusion,MHI - Advanced Gentrification,MHI - Ongoing Exclusion,LI - Ongoing Gentrification and/or Displacement,total
42,Cypress Hills-City Line,0.20588235294100002,0.0,0.117647058824,0.35294117647100004,0.0,0.0588235294118,0.0294117647059,0.235294117647,34.0
43,Douglas Manor-Douglaston-Little Neck,0.166666666667,0.08333333333330001,0.5,0.0,0.166666666667,0.0,0.08333333333330001,0.0,12.0
44,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.121212121212,0.121212121212,0.0,0.0606060606061,0.272727272727,0.181818181818,0.0909090909091,0.151515151515,33.0
45,Dyker Heights,0.0625,0.28125,0.09375,0.15625,0.125,0.0625,0.03125,0.1875,32.0
46,Eastchester-Edenwald-Baychester,0.08,0.04,0.28,0.0,0.4,0.0,0.08,0.12,25.0
47,East Concourse-Concourse Village,0.07407407407410001,0.0,0.037037037037,0.48148148148100006,0.037037037037,0.07407407407410001,0.0,0.296296296296,27.0
48,East Elmhurst,0.3125,0.0,0.125,0.4375,0.0,0.0,0.0,0.125,16.0
49,East Flatbush-Farragut,0.2,0.0571428571429,0.314285714286,0.257142857143,0.0285714285714,0.0571428571429,0.0,0.0857142857143,35.0
50,East Flushing,0.434782608696,0.0434782608696,0.17391304347800002,0.17391304347800002,0.08695652173910001,0.0,0.0434782608696,0.0434782608696,23.0
51,East Harlem North,0.272727272727,0.0,0.0454545454545,0.227272727273,0.0,0.0,0.0,0.45454545454499995,22.0
52,East Harlem South,0.1,0.05,0.1,0.2,0.1,0.0,0.05,0.4,20.0
53,East New York,0.428571428571,0.0204081632653,0.061224489795900006,0.224489795918,0.0,0.0408163265306,0.0,0.224489795918,49.0
54,East New York (Pennsylvania Ave),0.40909090909100004,0.0,0.0,0.318181818182,0.0,0.0,0.0,0.272727272727,22.0
55,East Tremont,0.166666666667,0.0,0.08333333333330001,0.416666666667,0.0,0.0416666666667,0.0,0.29166666666700003,24.0
56,East Village,0.052631578947400004,0.157894736842,0.0,0.0,0.157894736842,0.105263157895,0.0,0.526315789474,19.0
57,East Williamsburg,0.07407407407410001,0.0,0.0,0.07407407407410001,0.07407407407410001,0.48148148148100006,0.0,0.296296296296,27.0
58,Elmhurst,0.39473684210500004,0.0,0.026315789473700002,0.34210526315800005,0.026315789473700002,0.0,0.0,0.210526315789,38.0
59,Elmhurst-Maspeth,0.40909090909100004,0.0,0.0454545454545,0.363636363636,0.0454545454545,0.13636363636399998,0.0,0.0,22.0
60,Erasmus,0.0909090909091,0.0,0.0,0.7727272727269999,0.0,0.0,0.0,0.13636363636399998,22.0
61,Far Rockaway-Bayswater,0.5,0.0,0.0,0.08333333333330001,0.08333333333330001,0.0,0.08333333333330001,0.25,12.0
62,Flatbush,0.14285714285700002,0.0816326530612,0.102040816327,0.44897959183700004,0.0816326530612,0.0408163265306,0.0204081632653,0.0816326530612,49.0
63,Flatlands,0.0816326530612,0.122448979592,0.428571428571,0.0204081632653,0.163265306122,0.061224489795900006,0.122448979592,0.0,49.0
64,Flushing,0.72,0.0,0.08,0.08,0.0,0.0,0.04,0.08,25.0
65,Fordham South,0.0588235294118,0.0,0.0,0.35294117647100004,0.0,0.0,0.0,0.588235294118,17.0
66,Forest Hills,0.176470588235,0.0882352941176,0.176470588235,0.0294117647059,0.35294117647100004,0.0882352941176,0.0,0.0882352941176,34.0
